Economic Need Index,graduation_rate
0.826,0.54
0.562,0.73
0.7120000000000001,0.67
0.8320000000000001,0.66
0.9059999999999999,0.77
0.835,0.66
0.452,
0.8109999999999999,0.85
0.195,1.0
0.653,0.72
0.792,0.67
0.78,0.72
0.6970000000000001,0.79
0.7040000000000001,0.54
0.831,0.64
0.659,0.84
0.581,0.8
0.545,0.96
0.741,0.73
0.727,0.64
0.6409999999999999,0.96
0.773,0.63
0.547,0.88
0.677,0.64
0.276,0.99
0.866,0.65
0.759,0.48
0.505,0.77
0.611,0.85
0.294,0.93
0.889,0.88
0.9229999999999999,0.66
0.7759999999999999,0.91
0.5870000000000001,0.96
0.39399999999999996,0.86
0.764,0.78
0.6509999999999999,0.86
0.213,0.99
0.39299999999999996,0.98
0.521,0.84
0.802,0.86
0.511,0.98
0.833,0.64
0.5379999999999999,
0.825,0.53
0.95,0.62
0.907,0.58
0.259,0.99
0.732,0.82
0.743,0.76
0.813,0.68
0.621,0.85
0.36700000000000005,0.66
0.741,0.71
0.605,0.75
0.8320000000000001,0.83
0.43,0.89
0.6729999999999999,0.95
0.693,0.84
0.785,0.77
0.77,0.98
0.8440000000000001,0.73
0.8490000000000001,0.74
0.447,0.88
0.7709999999999999,0.92
0.953,0.8
0.8370000000000001,0.5
0.377,0.96
0.536,0.82
0.708,0.67
0.624,0.75
0.669,
0.35100000000000003,1.0
0.83,0.73
0.619,0.95
0.847,0.79
0.955,0.62
0.7190000000000001,0.97
0.26,1.0
0.711,0.76
0.506,0.85
0.7559999999999999,0.72
0.726,0.87
0.381,0.98
0.6809999999999999,0.97
0.795,0.86
0.45399999999999996,0.8
0.953,0.39
0.312,0.97
0.589,0.73
0.557,0.73
0.376,0.93
0.747,0.93
0.78,0.64
0.7490000000000001,0.75
0.7659999999999999,0.82
0.664,0.65
0.284,0.91
0.648,0.76
0.7879999999999999,0.7
0.818,0.63
0.35100000000000003,0.94
0.418,0.86
0.46,1.0
0.608,0.9
0.677,0.66
0.8140000000000001,0.8
0.8320000000000001,0.69
0.485,0.78
0.792,0.63
0.43,0.98
0.363,0.99
